Time GPS,Mission time,aire abajo Celsius,aire abajo Volts,aire abajo Vcc,aire arriba Celsius,aire arriba Volts,aire arriba Vcc,placa abajo Celsius,placa abajo Volts,placa abajo Vcc,placa arriba Celsius,placa arriba Volts,placa arriba Vcc,infinito Celsius,infinito Volts,infinito Vcc,exterior Celsius,exterior Volts,exterior Vcc,anemometro Celsius,anemometro Volts,anemometro Vcc
Thu 1970-01-01 01:00:00 CET,42.529901,31.139406,2.623660,4.853840,31.412786,2.622440,4.849480,28.421373,2.610860,4.851200,28.691362,2.610940,4.849240,31.247801,2.623960,4.853560,30.614473,2.621040,4.853040,258.344208,3.271560,4.853280
Thu 1970-01-01 01:00:00 CET,43.529963,31.370947,2.617140,4.840000,32.078045,2.618120,4.836400,28.257826,2.605200,4.841960,27.980520,2.604400,4.842640,31.244291,2.618020,4.842600,30.713648,2.615620,4.842240,261.219299,3.269940,4.842600
Thu 1970-01-01 01:00:00 CET,44.523370,31.353613,2.618820,4.843240,30.903387,2.616020,4.841520,28.491167,2.606740,4.843000,28.254196,2.605400,4.842360,30.998692,2.618340,4.845080,30.954639,2.616860,4.842680,262.122406,3.271440,4.842240
Thu 1970-01-01 01:00:00 CET,45.516959,31.626026,2.620080,4.843480,31.420576,2.617800,4.840840,28.802418,2.607960,4.842840,28.115202,2.605440,4.843520,31.429720,2.620780,4.846280,30.575352,2.620380,4.852120,257.716827,3.269660,4.852280
Thu 1970-01-01 01:00:00 CET,46.531529,31.100986,2.623500,4.853840,30.913792,2.622180,4.852840,28.652971,2.612480,4.852400,27.910458,2.611440,4.856280,31.219509,2.623280,4.852520,30.739904,2.620980,4.851960,258.410767,3.270800,4.851960
Thu 1970-01-01 01:00:00 CET,47.529692,31.874475,2.624400,4.849560,31.090673,2.622960,4.852920,28.246107,2.610940,4.852720,28.285570,2.611580,4.853600,30.671108,2.622940,4.856120,30.816643,2.621840,4.852960,257.458282,3.270340,4.854040
Thu 1970-01-01 01:00:00 CET,48.530383,31.647673,2.625060,4.852520,31.021717,2.622500,4.852600,28.692133,2.612580,4.852280,28.134918,2.609740,4.851360,31.275970,2.623580,4.852640,30.899538,2.622380,4.853320,257.595093,3.269260,4.852040
Thu 1970-01-01 01:00:00 CET,49.530847,31.279696,2.623660,4.852760,31.408445,2.623720,4.851880,28.403225,2.611860,4.853200,28.588127,2.610980,4.850120,31.072849,2.622540,4.852280,30.504528,2.620020,4.852000,257.816559,3.269720,4.852080
Thu 1970-01-01 01:00:00 CET,50.496802,31.376150,2.620860,4.846840,30.723406,2.619420,4.849200,28.656509,2.609760,4.847320,28.500488,2.608200,4.845640,30.845793,2.619260,4.847960,30.575537,2.611740,4.836120,264.350586,3.269580,4.833160
Thu 1970-01-01 01:00:00 CET,51.381288,31.413218,2.610480,4.827360,31.518698,2.608320,4.822560,29.124710,2.599720,4.825040,28.423956,2.598880,4.828920,30.882608,2.608780,4.828280,30.918316,2.606140,4.823120,265.932037,3.270160,4.829560
Thu 1970-01-01 01:00:00 CET,52.512599,31.299644,2.617320,4.840880,30.952978,2.614540,4.838400,28.485077,2.604260,4.838440,28.362253,2.606220,4.843040,30.569996,2.616880,4.845680,30.244762,2.615200,4.845080,260.632141,3.270100,4.844520
Thu 1970-01-01 01:00:00 CET,53.533018,31.389942,2.624400,4.853280,31.191555,2.623380,4.852920,28.740799,2.612160,4.851120,28.099977,2.610260,4.852600,30.847116,2.622140,4.853280,30.607332,2.621680,4.854280,258.283508,3.269500,4.850400
Thu 1970-01-01 01:00:00 CET,54.529488,31.628460,2.625240,4.853000,31.071465,2.622080,4.851440,28.464191,2.611600,4.852240,28.679674,2.611860,4.851040,31.380152,2.622780,4.850360,30.735163,2.622300,4.854440,258.636658,3.271780,4.852760
Thu 1970-01-01 01:00:00 CET,55.524555,31.696043,2.624720,4.851520,31.196512,2.623660,4.853400,28.588158,2.611540,4.851160,28.261240,2.610100,4.851040,31.170683,2.621520,4.849640,30.857582,2.621600,4.852200,258.246948,3.269860,4.851040
Thu 1970-01-01 01:00:00 CET,56.529991,31.564571,2.624780,4.852640,31.185768,2.622880,4.852040,28.276373,2.610960,4.852520,28.528881,2.611140,4.850880,31.403488,2.624240,4.852880,30.641159,2.619920,4.850760,258.217926,3.270720,4.852400
