HTL state,Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
A1,Thu 1970-01-01 01:00:00 CET,37.0449,-2409,1384,-348,-337.260010,193.759995,-48.720001,-10,-47,1353,-7.320000,-34.403999,990.395996,79,-45,40,5530.000000,-3150.000000,2800.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,38.0415,-2457,1320,-435,-343.980011,184.800003,-60.900002,-10,-46,1355,-7.320000,-33.672001,991.859985,82,-43,44,5740.000000,-3010.000000,3080.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,39.0428,-2405,1349,-552,-336.700012,188.860001,-77.279999,-10,-43,1358,-7.320000,-31.476000,994.055969,78,-43,42,5460.000000,-3010.000000,2940.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,40.0424,-2442,1356,-521,-341.880005,189.839996,-72.940002,-10,-44,1352,-7.320000,-32.208000,989.664001,80,-44,42,5600.000000,-3080.000000,2940.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,41.0432,-2428,1392,-487,-339.920013,194.880005,-68.180000,-9,-49,1354,-6.588000,-35.868000,991.127991,78,-41,44,5460.000000,-2870.000000,3080.000000,34,27.075195
A1,Thu 1970-01-01 01:00:00 CET,42.0432,-2472,1374,-481,-346.079987,192.360001,-67.340004,-4,-48,1352,-2.928000,-35.136002,989.664001,76,-46,40,5320.000000,-3220.000000,2800.000000,37,27.258301
A1,Thu 1970-01-01 01:00:00 CET,43.0429,-2439,1387,-522,-341.459991,194.180008,-73.080002,-9,-39,1357,-6.588000,-28.548000,993.323975,79,-43,44,5530.000000,-3010.000000,3080.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,44.043,-2450,1371,-445,-343.000000,191.940002,-62.299999,-6,-42,1357,-4.392000,-30.743999,993.323975,75,-42,42,5250.000000,-2940.000000,2940.000000,35,27.136230
A1,Thu 1970-01-01 01:00:00 CET,45.0426,-2466,1348,-432,-345.239990,188.720001,-60.480000,-10,-41,1359,-7.320000,-30.011999,994.787964,79,-41,40,5530.000000,-2870.000000,2800.000000,33,27.014160
A1,Thu 1970-01-01 01:00:00 CET,46.0442,-2405,1325,-471,-336.700012,185.500000,-65.940002,-6,-43,1356,-4.392000,-31.476000,992.591980,81,-49,42,5670.000000,-3430.000000,2940.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,47.0432,-2407,1375,-473,-336.980011,192.500000,-66.220001,-11,-40,1356,-8.052000,-29.279999,992.591980,81,-44,40,5670.000000,-3080.000000,2800.000000,35,27.136230
A1,Thu 1970-01-01 01:00:00 CET,48.0431,-2420,1328,-639,-338.799988,185.919998,-89.459999,-13,-44,1359,-9.516000,-32.208000,994.787964,82,-45,46,5740.000000,-3150.000000,3220.000000,32,26.953125
A1,Thu 1970-01-01 01:00:00 CET,49.0433,-2464,1372,-507,-344.959991,192.080002,-70.980003,-8,-44,1357,-5.856000,-32.208000,993.323975,72,-47,44,5040.000000,-3290.000000,3080.000000,36,27.197266
A1,Thu 1970-01-01 01:00:00 CET,50.0434,-2446,1343,-421,-342.440002,188.020004,-58.939999,-10,-40,1352,-7.320000,-29.279999,989.664001,80,-41,44,5600.000000,-2870.000000,3080.000000,37,27.258301
