HTL state,Time GPS,Mission time,heater-anemoemeter,heater-HTL
HTL state,Time GPS,Mission time,heater-HTL,Time GPS,Mission time,heater-anemometer
A1,Fri 2021-07-16 06:33:45 CEST,69.0626,1.322314,Fri 2021-07-16 06:33:45 CEST,69.0626,0.000000
A1,Fri 2021-07-16 06:33:45 CEST,70.0628,1.322314,Fri 2021-07-16 06:33:45 CEST,70.0628,0.000000
A1,Fri 2021-07-16 06:33:46 CEST,71.0627,1.322314,Fri 2021-07-16 06:33:46 CEST,71.0627,0.000000
A1,Fri 2021-07-16 06:33:46 CEST,72.0628,1.322314,Fri 2021-07-16 06:33:46 CEST,72.0628,0.000000
A1,Fri 2021-07-16 06:33:47 CEST,73.0646,1.322314,Fri 2021-07-16 06:33:47 CEST,73.0646,0.000000
A1,Fri 2021-07-16 06:33:47 CEST,74.0628,1.322314,Fri 2021-07-16 06:33:47 CEST,74.0628,0.000000
A1,Fri 2021-07-16 06:33:48 CEST,75.0628,1.322314,Fri 2021-07-16 06:33:48 CEST,75.0628,0.000000
A1,Fri 2021-07-16 06:33:48 CEST,76.0628,1.322314,Fri 2021-07-16 06:33:48 CEST,76.0628,0.000000
A1,Fri 2021-07-16 06:33:49 CEST,77.0625,1.322314,Fri 2021-07-16 06:33:49 CEST,77.0625,0.000000
A1,Fri 2021-07-16 06:33:49 CEST,78.0623,1.322314,Fri 2021-07-16 06:33:49 CEST,78.0623,0.000000
A1,Fri 2021-07-16 06:33:50 CEST,79.0624,1.322314,Fri 2021-07-16 06:33:50 CEST,79.0624,0.000000
A1,Fri 2021-07-16 06:33:50 CEST,80.0629,1.322314,Fri 2021-07-16 06:33:50 CEST,80.0629,0.000000
A1,Fri 2021-07-16 06:33:51 CEST,81.0626,1.322314,Fri 2021-07-16 06:33:51 CEST,81.0627,0.000000
A1,Fri 2021-07-16 06:33:51 CEST,82.0643,1.322314,Fri 2021-07-16 06:33:51 CEST,82.0643,0.000000
A1,Fri 2021-07-16 06:33:52 CEST,83.0628,1.322314,Fri 2021-07-16 06:33:52 CEST,83.0628,0.000000
A1,Fri 2021-07-16 06:33:52 CEST,84.0627,1.322314,Fri 2021-07-16 06:33:52 CEST,84.0627,0.000000
A1,Fri 2021-07-16 06:33:53 CEST,85.0627,1.322314,Fri 2021-07-16 06:33:53 CEST,85.0627,0.000000
A1,Fri 2021-07-16 06:33:53 CEST,86.0629,1.322314,Fri 2021-07-16 06:33:53 CEST,86.0629,0.000000
A1,Fri 2021-07-16 06:33:54 CEST,87.0628,1.322314,Fri 2021-07-16 06:33:54 CEST,87.0628,0.000000
A1,Fri 2021-07-16 06:33:54 CEST,88.0626,1.322314,Fri 2021-07-16 06:33:54 CEST,88.0626,0.000000
A1,Fri 2021-07-16 06:33:55 CEST,89.0624,1.322314,Fri 2021-07-16 06:33:55 CEST,89.0624,0.000000
A1,Fri 2021-07-16 06:33:55 CEST,90.0626,1.322314,Fri 2021-07-16 06:33:55 CEST,90.0626,0.000000
A1,Fri 2021-07-16 06:33:56 CEST,91.0647,1.322314,Fri 2021-07-16 06:33:56 CEST,91.0647,0.000000
A1,Fri 2021-07-16 06:33:56 CEST,92.0624,1.322314,Fri 2021-07-16 06:33:56 CEST,92.0624,0.000000
A1,Fri 2021-07-16 06:33:57 CEST,93.0629,1.322314,Fri 2021-07-16 06:33:57 CEST,93.0629,0.000000
