Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
Thu 1970-01-01 01:00:00 CET,54.013,897,3236,346,125.580002,453.040009,48.439999,-11,-29,1348,-8.052000,-21.228001,986.735962,107,51,43,7490.000000,3570.000000,3010.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,55.0144,860,3222,305,120.400002,451.080017,42.700001,-16,-29,1346,-11.712000,-21.228001,985.271973,108,50,43,7560.000000,3500.000000,3010.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,56.0134,852,3247,334,119.279999,454.580017,46.759998,-15,-25,1344,-10.980000,-18.299999,983.807983,110,51,43,7700.000000,3570.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,57.0132,889,3241,309,124.459999,453.739990,43.259998,-15,-27,1351,-10.980000,-19.764000,988.932007,109,50,45,7630.000000,3500.000000,3150.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,58.0133,867,3241,263,121.379997,453.739990,36.820000,-17,-26,1348,-12.444000,-19.032000,986.735962,108,52,39,7560.000000,3640.000000,2730.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,59.0134,876,3239,295,122.639999,453.459991,41.299999,-20,-24,1347,-14.639999,-17.568001,986.003967,107,51,41,7490.000000,3570.000000,2870.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,60.0129,850,3229,339,119.000000,452.059998,47.459999,-18,-29,1344,-13.176000,-21.228001,983.807983,114,49,41,7980.000000,3430.000000,2870.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,61.013,833,3247,306,116.620003,454.580017,42.840000,-19,-26,1348,-13.908000,-19.032000,986.735962,104,49,42,7280.000000,3430.000000,2940.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,62.0134,875,3260,342,122.500000,456.399994,47.880001,-13,-27,1348,-9.516000,-19.764000,986.735962,107,47,40,7490.000000,3290.000000,2800.000000,176,35.742188
Time GPS,Mission time,MGT-X raw,MGT-Y raw,MGT-Z raw,MGT-X mgauss,MGT-Y mgauss,MGT-Z mgauss,ACC-X raw,ACC-Y raw,ACC-Z raw,ACC-X mg,ACC-Y mg,ACC-Z mg,GYRO-X raw,GYRO-Y raw,GYRO-Z raw,GYRO-X mdps,GYRO-Y mdps,GYRO-Z mdps,Temp raw,Temp Celsius
Thu 1970-01-01 01:00:00 CET,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.000000,0,0.000000
Thu 1970-01-01 01:00:00 CET,0.0161902,867,3251,351,121.379997,455.140015,49.139999,-19,-26,1345,-13.908000,-19.032000,984.539978,111,50,41,7770.000000,3500.000000,2870.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,1.01596,874,3230,318,122.360001,452.200012,44.520000,-15,-27,1345,-10.980000,-19.764000,984.539978,104,52,45,7280.000000,3640.000000,3150.000000,178,35.864258
Thu 1970-01-01 01:00:00 CET,2.01486,840,3180,302,117.599998,445.200012,42.279999,-16,-28,1343,-11.712000,-20.496000,983.075989,108,50,43,7560.000000,3500.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,3.01274,854,3229,239,119.559998,452.059998,33.459999,-11,-31,1346,-8.052000,-22.691999,985.271973,109,45,43,7630.000000,3150.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,4.01405,898,3203,257,125.720001,448.420013,35.980000,-15,-29,1344,-10.980000,-21.228001,983.807983,110,51,43,7700.000000,3570.000000,3010.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,5.01405,847,3177,240,118.580002,444.779999,33.599998,-14,-30,1342,-10.248000,-21.959999,982.343994,105,53,43,7350.000000,3710.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,6.01431,869,3230,361,121.660004,452.200012,50.540001,-16,-26,1342,-11.712000,-19.032000,982.343994,110,46,42,7700.000000,3220.000000,2940.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,7.0146,850,3234,368,119.000000,452.760010,51.520000,-16,-31,1340,-11.712000,-22.691999,980.880005,108,50,42,7560.000000,3500.000000,2940.000000,178,35.864258
Thu 1970-01-01 01:00:00 CET,8.01482,811,3187,259,113.540001,446.179993,36.259998,-12,-25,1349,-8.784000,-18.299999,987.468018,111,48,46,7770.000000,3360.000000,3220.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,9.01465,871,3224,322,121.940002,451.360016,45.080002,-17,-24,1347,-12.444000,-17.568001,986.003967,110,50,42,7700.000000,3500.000000,2940.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,10.017,852,3177,294,119.279999,444.779999,41.160000,-10,-28,1340,-7.320000,-20.496000,980.880005,108,47,42,7560.000000,3290.000000,2940.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,11.0147,843,3230,327,118.020004,452.200012,45.779999,-18,-30,1344,-13.176000,-21.959999,983.807983,108,51,40,7560.000000,3570.000000,2800.000000,175,35.681152
Thu 1970-01-01 01:00:00 CET,12.015,864,3204,301,120.959999,448.559998,42.139999,-16,-29,1349,-11.712000,-21.228001,987.468018,104,46,40,7280.000000,3220.000000,2800.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,13.0146,882,3236,341,123.480003,453.040009,47.740002,-18,-29,1351,-13.176000,-21.228001,988.932007,104,48,43,7280.000000,3360.000000,3010.000000,178,35.864258
Thu 1970-01-01 01:00:00 CET,14.0146,916,3192,343,128.240005,446.880005,48.020000,-20,-26,1345,-14.639999,-19.032000,984.539978,107,45,38,7490.000000,3150.000000,2660.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,15.0155,905,3206,308,126.699997,448.839996,43.119999,-20,-25,1345,-14.639999,-18.299999,984.539978,106,46,45,7420.000000,3220.000000,3150.000000,176,35.742188
Thu 1970-01-01 01:00:00 CET,16.0141,891,3247,352,124.739998,454.580017,49.279999,-17,-28,1344,-12.444000,-20.496000,983.807983,109,49,43,7630.000000,3430.000000,3010.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,17.0143,870,3195,264,121.800003,447.299988,36.959999,-14,-21,1343,-10.248000,-15.372000,983.075989,108,49,40,7560.000000,3430.000000,2800.000000,177,35.803223
Thu 1970-01-01 01:00:00 CET,18.0143,857,3259,220,119.980003,456.260010,30.799999,-20,-28,1348,-14.639999,-20.496000,986.735962,107,46,41,7490.000000,3220.000000,2870.000000,178,35.864258
Thu 1970-01-01 01:00:00 CET,19.016,900,3262,273,126.000000,456.679993,38.220001,-16,-32,1345,-11.712000,-23.424000,984.539978,110,46,43,7700.000000,3220.000000,3010.000000,174,35.620117
Thu 1970-01-01 01:00:00 CET,20.0153,866,3196,277,121.239998,447.440002,38.779999,-18,-25,1345,-13.176000,-18.299999,984.539978,106,50,41,7420.000000,3500.000000,2870.000000,173,35.559082
