HTL state;Time GPS;Mission time;heater-HTL;Time GPS;Mission time;heater-anemometer
A1;Fri 2021-07-16 07:29:26 CEST;84.114;1.322314;Fri 2021-07-16 07:29:26 CEST;84.114;0.8
A1;Fri 2021-07-16 07:29:26 CEST;85.1144;1.322314;Fri 2021-07-16 07:29:26 CEST;85.1144;0.8
A1;Fri 2021-07-16 07:29:27 CEST;86.114;1.322314;Fri 2021-07-16 07:29:27 CEST;86.114;0.8
A1;Fri 2021-07-16 07:29:27 CEST;87.1142;1.322314;Fri 2021-07-16 07:29:27 CEST;87.1142;0.8
A1;Fri 2021-07-16 07:29:28 CEST;88.1137;1.322314;Fri 2021-07-16 07:29:28 CEST;88.1137;0.8
A1;Fri 2021-07-16 07:29:28 CEST;89.1158;1.322314;Fri 2021-07-16 07:29:28 CEST;89.1158;0.8
A1;Fri 2021-07-16 07:29:29 CEST;90.1142;1.322314;Fri 2021-07-16 07:29:29 CEST;90.1142;0.8
A1;Fri 2021-07-16 07:29:29 CEST;91.1142;1.322314;Fri 2021-07-16 07:29:29 CEST;91.1142;0.8
A1;Fri 2021-07-16 07:29:30 CEST;92.114;1.322314;Fri 2021-07-16 07:29:30 CEST;92.114;0.8
A1;Fri 2021-07-16 07:29:30 CEST;93.1143;1.322314;Fri 2021-07-16 07:29:30 CEST;93.1143;0.8
A1;Fri 2021-07-16 07:29:31 CEST;94.1141;1.322314;Fri 2021-07-16 07:29:31 CEST;94.1141;0.8
A1;Fri 2021-07-16 07:29:31 CEST;95.1143;1.322314;Fri 2021-07-16 07:29:31 CEST;95.1143;0.8
A1;Fri 2021-07-16 07:29:32 CEST;96.114;1.322314;Fri 2021-07-16 07:29:32 CEST;96.1141;0.8
A1;Fri 2021-07-16 07:29:32 CEST;97.1142;1.322314;Fri 2021-07-16 07:29:32 CEST;97.1142;0.8
A1;Fri 2021-07-16 07:29:33 CEST;98.1159;1.322314;Fri 2021-07-16 07:29:33 CEST;98.1159;0.8
A1;Fri 2021-07-16 07:29:33 CEST;99.1142;1.322314;Fri 2021-07-16 07:29:33 CEST;99.1142;0.8
A1;Fri 2021-07-16 07:29:34 CEST;100.114;1.322314;Fri 2021-07-16 07:29:34 CEST;100.114;0.8
A1;Fri 2021-07-16 07:29:34 CEST;101.114;1.322314;Fri 2021-07-16 07:29:34 CEST;101.114;0.8
A1;Fri 2021-07-16 07:29:35 CEST;102.114;1.322314;Fri 2021-07-16 07:29:35 CEST;102.114;0.8
